record_id,mall_name,city,zone,floor,store_name,category,sub_category,price_level,budget_min_rmb,budget_max_rmb,best_for,style_tags,target_user,estimated_time_min,visit_stage,mission_type,mission,reward,coupon_type,repurchase_trigger,ai_reason,keywords,data_status,source_note
HBIN77-011,Hangzhou Hubin Yintai in77,Hangzhou,D Area,L1,SkinCeuticals,Beauty,Dermatology skincare,High,400,2500,skin concern solutions and serum refill,skincare science dermatologist serum,"skincare users, problem-solution buyers",20,during_visit,diagnosis,Choose one skin concern and match it with one product type.,Unlock skincare sample reward,sample_reward,serum refill reminder after 45 days,Strong for AI repurchase reminders because skincare has repeat cycles.,skinceuticals skincare serum science,public_anchor,Publicly mentioned for Hangzhou Hubin Yintai in77 or Yintai/in77 in public sources; exact floor/campaign fields are prototype assumptions
HBIN77-012,Hangzhou Hubin Yintai in77,Hangzhou,D Area,L1,LA MER,Beauty,Luxury skincare,Luxury,900,6000,luxury skincare gifts and premium routine,luxury skincare premium hydrating,"premium beauty users, gift buyers",20,during_visit,browse,Save one premium skincare item for later comparison.,Unlock luxury beauty badge,points_only,cream replenishment reminder,Recommended for high-budget premium skincare journeys.,la mer skincare luxury cream,public_anchor,Publicly mentioned for Hangzhou Hubin Yintai in77 or Yintai/in77 in public sources; exact floor/campaign fields are prototype assumptions
HBIN77-013,Hangzhou Hubin Yintai in77,Hangzhou,D Area,L1,LE LABO,Beauty,Fragrance,High,300,2500,niche perfume and personalized scent,fragrance niche minimalist premium,"fragrance lovers, gift buyers, tourists",20,during_visit,scent_test,Test two scents and choose one mood match.,Unlock fragrance discovery reward,sample_reward,fragrance repurchase or gift reminder,Great for experience-based missions and social sharing.,le labo fragrance perfume niche,public_anchor,Publicly mentioned for Hangzhou Hubin Yintai in77 or Yintai/in77 in public sources; exact floor/campaign fields are prototype assumptions
HBIN77-014,Hangzhou Hubin Yintai in77,Hangzhou,D Area,L1,Aesop,Beauty,Skincare and body care,High,250,1800,"body care, hand care, fragrance, minimalist gifts",minimalist skincare bodycare fragrance,"gift buyers, skincare users, lifestyle shoppers",20,during_visit,gift_match,Match one product to a gift receiver profile.,Unlock gift guide reward,sample_reward,hand care or body care refill reminder,Works well for gift routes and post-purchase refill reminders.,aesop skincare body care gift fragrance,public_anchor,Publicly mentioned for Hangzhou Hubin Yintai in77 or Yintai/in77 in public sources; exact floor/campaign fields are prototype assumptions
HBIN77-015,Hangzhou Hubin Yintai in77,Hangzhou,D Area,L1,Sephora,Beauty,Multi-brand beauty,Medium to High,200,2500,"makeup, skincare, perfume and beauty discovery",beauty makeup skincare perfume popular,"young shoppers, beauty beginners, gift buyers",30,during_visit,compare,Compare two beauty products and pick the best value.,Unlock beauty coupon + sample reward,beauty_coupon,makeup or skincare restock reminder,Good broad beauty stop for many user intents and budgets.,sephora makeup skincare perfume beauty,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-016,Hangzhou Hubin Yintai in77,Hangzhou,C Area,L1,THE COLORIST,Beauty,Affordable beauty and accessories,Low to Medium,30,300,"affordable makeup, cute accessories, quick add-ons",cute colorful makeup affordable accessories,"students, young beauty shoppers, low-budget users",20,during_visit,add_on,Find one item that matches your outfit color.,Unlock beauty sample reward,sample_reward,makeup add-on reminder,Good for low-budget beauty missions and quick store stops.,colorist makeup affordable cute accessories,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-017,Hangzhou Hubin Yintai in77,Hangzhou,C Area,L2,URBAN REVIVO,Fashion,Fast fashion womenswear,Medium,100,700,cute weekend outfit and trendy clothes,fashion trendy cute weekend outfit,"students, young women, fashion shoppers",30,during_visit,outfit_build,Build one outfit under your budget.,Unlock fashion coupon + style points,fashion_coupon,matching item reminder,Strong match for outfit-building goals and mid-range budgets.,urban revivo outfit clothes fashion cute trendy,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-018,Hangzhou Hubin Yintai in77,Hangzhou,C Area,L2,LE'DIN,Fashion,Feminine casual fashion,Medium,120,700,soft feminine casual style,cute feminine soft casual outfit,"young women, students, casual fashion shoppers",25,during_visit,style_match,Pick two items and choose the best match.,Unlock style points,fashion_coupon,seasonal outfit reminder,Good for cute/feminine style and weekend outfits.,ledin cute feminine fashion outfit,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-019,Hangzhou Hubin Yintai in77,Hangzhou,B/C Area,L2,ZARA,Fashion,Fast fashion,Medium,120,900,"workwear, casual outfits, seasonal trends",trendy basic casual workwear,"students, young professionals, tourists",30,during_visit,outfit_build,Build one day-to-night outfit under budget.,Unlock fast-fashion coupon,fashion_coupon,new season reminder,Broad fashion option for general outfit goals.,zara fashion outfit basic trendy,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-020,Hangzhou Hubin Yintai in77,Hangzhou,B/C Area,L2,H&M,Fashion,Affordable fashion,Low to Medium,50,500,budget outfits and basics,affordable basic casual student,"students, budget shoppers, families",25,during_visit,budget_challenge,Create a full look using two affordable items.,Unlock budget shopper points,fashion_coupon,basic item restock reminder,Useful for users with limited budget and need for basics.,hm affordable fashion basics,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-021,Hangzhou Hubin Yintai in77,Hangzhou,B/C Area,L2,UNIQLO,Fashion,Basics and lifestyle apparel,Low to Medium,79,600,"comfortable basics, travel outfits, simple style",minimal basic comfort casual,"students, families, practical shoppers",25,during_visit,fit_check,Choose one comfortable basic that matches your route goal.,Unlock comfort style badge,fashion_coupon,innerwear/basic restock reminder,"Works when user asks for simple, comfort, practical clothes.",uniqlo basics comfortable casual,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-022,Hangzhou Hubin Yintai in77,Hangzhou,B Area,L2,MANGO,Fashion,Women's fashion,Medium,150,900,elegant casual and semi-formal outfits,elegant chic modern feminine,"young professionals, fashion users",25,during_visit,style_vote,Choose between two looks and ask a friend to vote.,Unlock social fashion points,fashion_coupon,matching accessory reminder,Good for users seeking a polished look.,mango fashion elegant casual,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-023,Hangzhou Hubin Yintai in77,Hangzhou,B Area,L2,Massimo Dutti,Fashion,Premium casualwear,High,300,1800,premium basics and workwear,premium elegant minimal workwear,"young professionals, premium shoppers",25,during_visit,capsule,Pick one capsule wardrobe piece.,Unlock premium style badge,points_only,wardrobe matching reminder,Recommended for high budget and elegant style.,massimo dutti premium workwear,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-024,Hangzhou Hubin Yintai in77,Hangzhou,C Area,L2,ONLY,Fashion,Young women's fashion,Medium,100,700,casual outfits and trendy basics,casual trendy youthful outfit,"students, young shoppers",25,during_visit,outfit_build,Build one casual look with two items.,Unlock fashion mission points,fashion_coupon,seasonal drop reminder,Good for young casual outfit missions.,only fashion casual outfit,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-025,Hangzhou Hubin Yintai in77,Hangzhou,C Area,L2,VERO MODA,Fashion,Women's fashion,Medium,100,800,modern casual and work outfits,modern casual feminine workwear,"students, young professionals",25,during_visit,style_match,Match one top with one bottom for your goal.,Unlock outfit match reward,fashion_coupon,matching bottom/top reminder,Useful for personalized outfit completion.,vero moda women fashion casual,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-026,Hangzhou Hubin Yintai in77,Hangzhou,C Area,L2,MO&Co.,Fashion,Designer women's fashion,High,300,2000,fashion-forward statement pieces,designer edgy chic fashion,"fashion lovers, premium shoppers",25,during_visit,trend_spot,Find one statement piece and save it.,Unlock trend explorer badge,points_only,new arrival reminder,Good for higher-budget style exploration.,moco designer women fashion,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-027,Hangzhou Hubin Yintai in77,Hangzhou,C Area,L2,Peacebird,Fashion,Trendy Chinese fashion,Medium,150,1000,local trend fashion and youthful outfits,trendy chinese casual street,"young shoppers, students",25,during_visit,local_brand,Try one local trend item.,Unlock local fashion points,fashion_coupon,new collection reminder,Adds Chinese brand relevance to route.,peacebird fashion trend,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-028,Hangzhou Hubin Yintai in77,Hangzhou,B/C Area,L2,JNBY,Fashion,Designer casual fashion,High,300,1800,"artistic, minimal, mature fashion",minimal artistic designer fashion,"creative users, premium fashion users",25,during_visit,style_discovery,Pick one item that matches an artistic style mood.,Unlock designer discovery badge,points_only,seasonal collection reminder,Good for unique style personalization.,jnby designer fashion minimal,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-029,Hangzhou Hubin Yintai in77,Hangzhou,C Area,L2,Victoria's Secret,Fashion,Lingerie and beauty,Medium to High,150,1200,"fragrance, lingerie, gift, feminine style",feminine fragrance lingerie gift,"young women, gift buyers",20,during_visit,gift_match,Choose one fragrance or gift item within budget.,Unlock gift mission points,gift_coupon,fragrance/body care refill reminder,Good gift and beauty-adjacent stop.,victoria secret fragrance lingerie gift,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-030,Hangzhou Hubin Yintai in77,Hangzhou,B/C Area,L1,POP MART,Lifestyle,Collectible toys,Low to Medium,59,600,"cute gifts, blind boxes, social sharing",cute gift collectible trendy social,"students, gift buyers, tourists",20,during_visit,gift_pick,Choose one blind box style for a friend.,Unlock social gift badge,gift_coupon,new series launch reminder,Good for gifts and fun social missions.,pop mart gift blind box toy cute,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-031,Hangzhou Hubin Yintai in77,Hangzhou,B1,B1,Miniso,Lifestyle,Affordable lifestyle goods,Low,10,200,"small gifts, cute add-ons, affordable accessories",cute cheap gift accessory lifestyle,"students, low-budget shoppers, gift buyers",15,during_visit,add_on,Choose one cute add-on item under budget.,Unlock small gift reward,gift_coupon,small item refill reminder,Good for low-budget missions and quick wins.,miniso gift accessories cute cheap,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-032,Hangzhou Hubin Yintai in77,Hangzhou,B/C Area,L1,Muji,Lifestyle,Home and lifestyle basics,Medium,20,600,"minimal lifestyle, stationery, travel basics",minimal lifestyle stationery home travel,"students, practical shoppers, gift buyers",20,during_visit,practical_pick,"Find one useful item for school, work, or travel.",Unlock lifestyle points,lifestyle_coupon,stationery or skincare refill reminder,Good for practical route goals.,muji lifestyle stationery minimal,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-033,Hangzhou Hubin Yintai in77,Hangzhou,B/C Area,L1,LOFT,Lifestyle,Creative lifestyle goods,Medium,30,800,"creative gifts, stationery, beauty tools",creative cute gift stationery lifestyle,"students, gift buyers, creative users",20,during_visit,gift_match,Pick one gift item based on a receiver profile.,Unlock gift guide reward,gift_coupon,holiday gift reminder,Good for interactive gift missions.,loft gift stationery lifestyle,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-034,Hangzhou Hubin Yintai in77,Hangzhou,B/C Area,L3,LEGO,Entertainment,Toys and building sets,Medium to High,99,3000,"gifts, family stop, fun activity",family gift toy fun creative,"families, gift buyers, tourists",20,during_visit,experience,Check one gift idea or display set.,Unlock family activity points,points_only,birthday gift reminder,Good for family and gift-focused routes.,lego toy gift family fun,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-035,Hangzhou Hubin Yintai in77,Hangzhou,A/C Area,L1,% Arabica,Food & Beverage,Coffee,Medium,30,80,coffee break and rest stop,coffee rest minimal premium break,"students, tourists, shopping groups",15,break,check_in,Take a break and check in after two stores.,Unlock coffee break points,food_coupon,coffee return visit reminder,Useful for time balancing and route pacing.,arabica coffee break rest,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-036,Hangzhou Hubin Yintai in77,Hangzhou,B/C Area,L1,Starbucks,Food & Beverage,Coffee,Medium,25,80,"coffee break, meeting point, waiting stop",coffee casual meeting rest,"students, families, groups",15,break,check_in,Use this stop as a route checkpoint.,Unlock break-time points,food_coupon,next visit coffee reminder,Good as a flexible stop between shopping tasks.,starbucks coffee break meeting,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-037,Hangzhou Hubin Yintai in77,Hangzhou,B/C Area,B1/L1,Heytea,Food & Beverage,Tea drinks,Low to Medium,20,60,"social drink, waiting stop, young shoppers",tea social trendy drink break,"students, young shoppers, groups",15,break,social_share,Share your route drink stop with a friend.,Unlock social sharing points,food_coupon,drink return reminder,Good for younger/social users.,heytea tea drink social,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-038,Hangzhou Hubin Yintai in77,Hangzhou,B/C Area,L1,Manner Coffee,Food & Beverage,Coffee,Low to Medium,15,50,quick coffee stop and budget break,coffee quick affordable break,"students, workers, solo shoppers",10,break,quick_stop,Add a 10-minute quick coffee stop.,Unlock quick route badge,food_coupon,coffee habit reminder,Good for short route optimization.,manner coffee quick break,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-039,Hangzhou Hubin Yintai in77,Hangzhou,A/B Area,L1,Blue Bottle Coffee,Food & Beverage,Coffee,Medium to High,35,90,premium coffee and tourist stop,coffee premium lifestyle tourist,"tourists, coffee lovers, social users",15,break,experience,Choose one signature drink and save it.,Unlock premium break points,food_coupon,return visit reminder,Good for scenic/premium mall routes.,blue bottle coffee premium,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-040,Hangzhou Hubin Yintai in77,Hangzhou,B/C Area,L1,Shake Shack,Food & Beverage,Casual dining,Medium,50,150,meal stop during longer shopping route,food burger casual social meal,"families, groups, tourists",30,break,meal_plan,Add a meal stop without breaking your time budget.,Unlock meal-route points,food_coupon,meal return reminder,Good for routes above 2 hours or group visits.,shake shack burger food,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-041,Hangzhou Hubin Yintai in77,Hangzhou,B/C Area,L4,Haidilao,Food & Beverage,Hotpot restaurant,Medium to High,100,250,group meal after shopping,hotpot group family dinner social,"families, groups, tourists",60,after_visit,reservation,Reserve or plan a group dinner after missions.,Unlock group dining reward,food_coupon,birthday/group meal reminder,Good for family/group visits but too long for short routes.,haidilao hotpot dinner group,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-042,Hangzhou Hubin Yintai in77,Hangzhou,B/C Area,L1,Nayuki,Food & Beverage,Tea and bakery,Low to Medium,25,80,tea and bakery rest stop,tea bakery sweet break social,"students, young shoppers, groups",15,break,check_in,Complete one tea break check-in.,Unlock drink coupon,food_coupon,drink return reminder,Good social shopping break.,nayuki tea bakery,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-043,Hangzhou Hubin Yintai in77,Hangzhou,B/C Area,L2,Lululemon,Sportswear,Athleisure apparel,High,400,2000,premium athleisure and yoga lifestyle,athleisure premium sporty wellness,"fitness users, premium shoppers",25,during_visit,fit_check,Try one athleisure outfit for daily wear.,Unlock wellness style badge,points_only,new drop or class reminder,Good for wellness and premium casual intents.,lululemon athleisure yoga sports,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-044,Hangzhou Hubin Yintai in77,Hangzhou,B/C Area,L2,The North Face,Sportswear,Outdoor apparel,Medium to High,300,2500,"outdoor jackets, travel gear, functional clothing",outdoor travel functional sporty,"travelers, outdoor users, students",25,during_visit,scenario_match,Match one item to a travel/weather scenario.,Unlock outdoor mission points,sports_coupon,seasonal gear reminder,Good when user mentions travel/weather/outdoor.,north face outdoor jacket travel,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-045,Hangzhou Hubin Yintai in77,Hangzhou,B/C Area,L2,New Balance,Sportswear,Sneakers,Medium to High,250,1200,comfort sneakers and casual style,sneakers comfort casual retro,"students, sneaker shoppers, commuters",25,during_visit,try_on,Try one comfort sneaker and one style sneaker.,Unlock sneaker comparison points,shoe_coupon,shoe replacement reminder,Good alternative to Nike/adidas for comfort route.,new balance sneakers comfort,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-046,Hangzhou Hubin Yintai in77,Hangzhou,B/C Area,L2,On Running,Sportswear,Running shoes,High,800,1800,running shoes and premium comfort,running premium comfort sporty,"fitness users, commuters, premium shoppers",20,during_visit,fit_check,Check comfort fit for walking/running needs.,Unlock running gear badge,points_only,running shoe replacement reminder,Good when user mentions walking a lot or comfort.,on running shoes comfort fitness,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-047,Hangzhou Hubin Yintai in77,Hangzhou,D Area,L1,CHANEL Beauty,Beauty,Luxury beauty and fragrance,Luxury,450,5000,"luxury beauty gift, fragrance, makeup",luxury beauty elegant perfume makeup,"gift buyers, premium beauty users",20,during_visit,gift_match,Match one beauty product to a gift occasion.,Unlock luxury gift badge,points_only,fragrance or lipstick reminder,Good for premium gift use cases.,chanel beauty perfume makeup,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-048,Hangzhou Hubin Yintai in77,Hangzhou,D Area,L1,Dior Beauty,Beauty,Luxury beauty and fragrance,Luxury,400,5000,"premium makeup, fragrance, gift",luxury beauty lipstick perfume elegant,"young beauty shoppers, gift buyers",20,during_visit,compare,Compare two lip/fragrance options.,Unlock premium beauty points,points_only,fragrance refill reminder,Good for social voting and gift missions.,dior beauty fragrance lipstick,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-049,Hangzhou Hubin Yintai in77,Hangzhou,D Area,L1,Lancôme,Beauty,Skincare and makeup,High,300,3000,skincare sets and makeup,skincare makeup french beauty,"beauty users, gift buyers",20,during_visit,consultation,Pick one product type for your skin goal.,Unlock skincare sample,sample_reward,serum/cream refill reminder,Strong repeat-purchase category.,lancome skincare makeup,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-050,Hangzhou Hubin Yintai in77,Hangzhou,D Area,L1,Kiehl's,Beauty,Skincare,Medium to High,200,1500,skincare basics and problem-solution routine,skincare simple routine repair,"students, skincare beginners, gift buyers",20,during_visit,diagnosis,Choose one skin need and match one product.,Unlock skincare sample,sample_reward,cleanser/cream refill reminder,Good mid-high skincare route.,kiehls skincare routine,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-051,Hangzhou Hubin Yintai in77,Hangzhou,D Area,L1,Shu Uemura,Beauty,Makeup and cleansing oil,Medium to High,250,2000,"makeup, cleansing oil, beauty repurchase",makeup cleansing oil beauty,"makeup users, skincare users",20,during_visit,demo,Try one makeup or cleansing product demo.,Unlock beauty points,beauty_coupon,cleansing oil refill reminder,Good for clear repurchase trigger.,shu uemura makeup cleansing oil,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-052,Hangzhou Hubin Yintai in77,Hangzhou,D Area,L1,M·A·C,Beauty,Makeup,Medium,180,1500,"lipstick, foundation, makeup color testing",makeup lipstick color bold,"students, makeup users, gift buyers",20,during_visit,color_test,Test two lipstick colors and ask for a vote.,Unlock makeup coupon,beauty_coupon,lipstick shade reminder,Good for social voting and low-to-mid beauty budgets.,mac makeup lipstick color,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-053,Hangzhou Hubin Yintai in77,Hangzhou,D Area,L1,Charlotte Tilbury,Beauty,Makeup,Medium to High,250,1800,glam makeup and gift sets,glam makeup beauty gift,"beauty users, gift buyers",20,during_visit,look_match,Pick one makeup look that matches your outfit.,Unlock glam beauty points,beauty_coupon,gift set reminder,Good for occasion-based routes.,charlotte tilbury makeup glam,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-054,Hangzhou Hubin Yintai in77,Hangzhou,D Area,L1,Jo Malone London,Beauty,Fragrance,High,500,2500,fragrance gifts and personal scent,fragrance elegant gift premium,"gift buyers, fragrance users",20,during_visit,scent_test,Test two scents and choose a mood match.,Unlock fragrance badge,points_only,fragrance gift reminder,Great for social and gift shopping.,jo malone fragrance gift,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-055,Hangzhou Hubin Yintai in77,Hangzhou,D Area,L1,Diptyque,Beauty,Fragrance and candles,High,400,2000,home fragrance and premium gifts,fragrance candle home premium gift,"gift buyers, lifestyle users",20,during_visit,gift_match,Choose one scent for a room or person.,Unlock home fragrance points,points_only,candle refill/gift reminder,Good for gift and lifestyle routes.,diptyque fragrance candle gift,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-056,Hangzhou Hubin Yintai in77,Hangzhou,B/C Area,L1,Swarovski,Accessories,Jewelry and gifts,Medium to High,300,3000,small luxury gifts and accessories,sparkly jewelry gift accessory,"gift buyers, young shoppers",20,during_visit,gift_match,Pick one accessory for a gift occasion.,Unlock accessory gift reward,gift_coupon,birthday/anniversary reminder,Good for gift missions and social voting.,swarovski jewelry gift,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-057,Hangzhou Hubin Yintai in77,Hangzhou,B/C Area,L1,Pandora,Accessories,Jewelry,Medium,200,2000,"bracelets, charms, girlfriend/friend gifts",jewelry charm gift cute,"students, couples, gift buyers",20,during_visit,personalize,Build a charm/gift idea under budget.,Unlock gift customization points,gift_coupon,birthday gift reminder,Good personalized gift route.,pandora jewelry charm gift,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-058,Hangzhou Hubin Yintai in77,Hangzhou,B/C Area,L1,Gentle Monster,Accessories,Eyewear,High,1500,3500,fashion eyewear and photo-friendly accessory,eyewear fashion cool trendy photo,"fashion users, tourists, social shoppers",20,during_visit,try_on,Try two eyewear styles and take a style vote.,Unlock style photo badge,points_only,new collection reminder,Good for visual/social shopping.,gentle monster sunglasses eyewear,prototype_sample,Prototype sample / to verify with official mall data
HBIN77-059,Hangzhou Hubin Yintai in77,Hangzhou,B/C Area,L1,Ray-Ban,Accessories,Eyewear,Medium to High,800,2000,classic sunglasses and practical accessories,classic eyewear casual travel,"tourists, practical shoppers",15,during_visit,try_on,Try one classic and one trendy frame.,Unlock eyewear mission points,points_only,travel accessory reminder,Good for travel and accessory goals.,rayban sunglasses eyewear,prototype_sample,Prototype sample / to verify with official mall data
